year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance
2013,2,26,6:07:00 PM,1630,97,7:56:00 PM,1837,79,EV,4411,N13566,EWR,MEM,144,946
2013,8,17,2:59:00 PM,1445,14,6:01:00 PM,1747,14,B6,1171,N661JB,LGA,FLL,147,1076
2013,2,13,6:12:00 PM,1815,-3,8:55:00 PM,2125,-30,AS,7,N403AS,EWR,SEA,315,2402
2013,4,11,9:22:00 PM,2115,7,11:39:00 PM,2353,-14,B6,97,N656JB,JFK,DEN,221,1626
2013,8,5,6:32:00 PM,1835,-3,9:45:00 PM,2155,-10,AA,269,N3EYAA,JFK,SEA,358,2422
2013,6,30,3:00:00 PM,1505,-5,5:51:00 PM,1650,61,UA,685,N424UA,LGA,ORD,116,733
2013,2,14,2:42:00 PM,1445,-3,6:33:00 PM,1747,46,UA,346,N446UA,EWR,MIA,200,1085
2013,7,25,7:52:00 AM,755,-3,10:37:00 AM,1057,-20,DL,2395,N909DL,LGA,PBI,140,1035
2013,7,10,5:57:00 AM,600,-3,7:25:00 AM,715,10,MQ,3267,N542MQ,EWR,ORD,113,719
2013,12,13,7:07:00 PM,1915,-8,9:55:00 PM,2219,-24,DL,2159,N909DE,JFK,MCO,138,944
2013,1,28,2:55:00 PM,1500,-5,4:47:00 PM,1655,-8,MQ,4429,N734MQ,LGA,CMH,83,479
2013,9,6,9:03:00 AM,912,-9,10:51:00 AM,1115,-24,EV,4348,N12163,EWR,MSP,138,1008
2013,4,8,6:25:00 AM,600,-7,8:24:00 AM,724,-27,EV,5689,N825AS,LGA,IAD,48,229
2013,5,12,8:23:00 AM,630,-5,10:06:00 AM,832,-8,US,1433,N188US,LGA,CLT,98,544
2013,9,14,6:49:00 AM,829,-6,9:38:00 AM,1017,-11,DL,1157,N324US,EWR,MSP,139,1008
2013,5,11,10:11:00 PM,700,-11,4:08:00 AM,1006,-28,DL,2003,N317US,LGA,MIA,153,1096
2013,7,29,6:57:00 AM,2155,16,8:06:00 AM,43,5,B6,425,N656JB,JFK,TPA,129,1005
2013,1,2,6:39:00 AM,700,-3,10:41:00 AM,809,-3,US,2163,N945UW,LGA,DCA,46,214
2013,7,27,1:28:00 PM,640,-1,3:49:00 PM,1040,1,AA,413,N3FYAA,JFK,SJU,207,1598
2013,2,9,6:59:00 PM,1330,-2,8:30:00 PM,1603,-14,DL,2043,N3761R,JFK,ATL,108,760
2013,5,2,4:21:00 PM,1900,-1,5:43:00 PM,2048,-18,EV,5038,N719EV,LGA,BHM,119,866
2013,9,17,7:34:00 AM,1627,-6,10:51:00 AM,1754,-11,EV,6101,N14905,LGA,IAD,47,229
2013,2,23,10:53:00 AM,740,-6,12:09:00 PM,1044,7,B6,341,N632JB,JFK,SRQ,167,1041
2013,1,13,12:03:00 PM,1100,-7,3:15:00 PM,1215,-6,MQ,3792,N510MQ,JFK,DCA,57,213
2013,4,5,8:06:00 AM,1144,19,10:14:00 AM,1444,31,UA,684,N407UA,EWR,TPA,160,997
2013,6,16,6:25:00 AM,804,2,8:15:00 AM,1013,1,EV,4304,N11150,EWR,MSY,161,1167
2013,9,5,9:34:00 PM,630,-5,11:26:00 PM,840,-25,US,2085,N563UW,LGA,CLT,84,544
2013,1,30,8:36:00 PM,1815,199,11:59:00 PM,2037,169,9E,3424,N909XJ,JFK,DTW,85,509
2013,11,20,7:15:00 AM,2040,-4,9:46:00 AM,2359,0,B6,523,N796JB,JFK,LAX,346,2475
2013,11,13,3:06:00 PM,725,-10,4:41:00 PM,1002,-16,B6,677,N273JB,JFK,JAX,124,828
2013,2,12,6:58:00 PM,1510,-4,9:25:00 PM,1655,-14,MQ,4447,N736MQ,LGA,RDU,70,431
2013,9,10,6:39:00 AM,1900,-2,9:34:00 AM,2132,-7,DL,947,N937DL,LGA,ATL,103,762
2013,4,12,8:36:00 PM,640,-1,9:42:00 PM,922,12,B6,983,N623JB,LGA,TPA,154,1010
2013,8,10,12:47:00 PM,2040,-4,2:58:00 PM,2205,-23,WN,2284,N940WN,LGA,MDW,113,725
2013,2,1,6:57:00 PM,1250,-3,9:18:00 PM,1520,-22,WN,390,N416WN,LGA,DEN,234,1620
2013,2,6,8:57:00 AM,1855,2,11:05:00 AM,2100,18,MQ,4649,N516MQ,LGA,MSP,167,1020
2013,12,30,2:56:00 PM,855,2,5:36:00 PM,1100,5,MQ,3478,N821MQ,LGA,DTW,95,502
2013,7,1,9:14:00 PM,1500,-4,11:42:00 PM,1750,-14,AA,883,N4YBAA,EWR,DFW,194,1372
2013,6,4,8:26:00 AM,2121,-7,9:53:00 AM,2359,-17,UA,527,N824UA,EWR,IAH,187,1400
2013,4,20,9:55:00 AM,830,-4,12:33:00 PM,1015,-22,AA,309,N516AA,LGA,ORD,115,733
2013,8,7,5:06:00 PM,1000,-5,8:37:00 PM,1235,-2,DL,1847,N919DL,LGA,ATL,119,762
2013,1,22,10:28:00 AM,1708,-2,1:17:00 PM,2023,14,B6,15,N267JB,JFK,FLL,179,1069
2013,7,19,1:54:00 PM,1028,0,4:50:00 PM,1339,-22,UA,1150,N38403,EWR,SFO,321,2565
2013,4,21,12:09:00 PM,1350,4,2:14:00 PM,1634,16,UA,679,N418UA,EWR,IAH,206,1400
2013,8,1,3:57:00 PM,1200,9,5:18:00 PM,1354,20,US,1879,N172US,JFK,CLT,92,541
2013,7,4,1:07:00 PM,1555,2,3:10:00 PM,1740,-22,WN,493,N236WN,LGA,STL,129,888
2013,9,13,7:10:00 AM,1315,-8,10:34:00 AM,1521,-11,9E,3795,N824AY,EWR,CVG,99,569
2013,4,15,5:13:00 PM,710,0,7:16:00 PM,1033,1,B6,671,N535JB,JFK,LAX,348,2475
2013,4,21,6:23:00 AM,1715,-2,7:53:00 AM,1927,-11,EV,4085,N22909,EWR,IND,104,645
2013,7,2,8:32:00 PM,625,-2,10:00:00 PM,805,-12,WN,526,N910WN,LGA,STL,125,888
2013,2,28,7:01:00 AM,2038,-6,8:41:00 AM,2216,-16,EV,4138,N12157,EWR,RDU,63,416
2013,11,1,7:24:00 PM,710,-9,10:39:00 PM,845,-4,AA,305,N492AA,LGA,ORD,120,733
2013,3,21,8:59:00 AM,1925,-1,11:51:00 AM,2243,-4,DL,2139,N964DL,LGA,MIA,159,1096
2013,2,18,6:22:00 AM,900,-1,7:21:00 AM,1205,-14,DL,1885,N327NW,LGA,MCO,135,950
2013,8,31,7:47:00 PM,620,2,10:44:00 PM,734,-13,EV,3824,N29917,EWR,IAD,41,212
2013,2,20,10:52:00 AM,1920,27,12:20:00 PM,2230,14,DL,2370,N367NW,LGA,PBI,150,1035
2013,5,31,7:56:00 AM,1100,-8,10:52:00 AM,1245,-25,MQ,4471,N711MQ,LGA,RDU,67,431
2013,8,23,8:56:00 AM,800,-4,11:44:00 AM,1104,-12,B6,1511,N587JB,EWR,RSW,155,1068
2013,10,9,5:11:00 AM,900,-4,8:03:00 AM,1144,0,DL,1747,N968DL,LGA,ATL,108,762
2013,4,19,7:04:00 AM,515,-4,10:02:00 AM,802,1,UA,1545,N37253,EWR,IAH,216,1400
2013,12,2,2:45:00 PM,708,-4,5:42:00 PM,1013,-11,UA,1077,N14704,EWR,MIA,159,1085
2013,5,16,8:46:00 PM,1445,0,11:45:00 PM,1805,-23,AA,1925,N3EVAA,LGA,MIA,148,1096
2013,11,25,11:10:00 AM,2025,21,12:38:00 PM,2340,5,UA,314,N587UA,JFK,LAX,337,2475
2013,11,10,1:17:00 PM,1115,-5,3:24:00 PM,1255,-17,MQ,3466,N1EAMQ,LGA,RDU,70,431
2013,3,26,7:15:00 AM,1315,2,9:51:00 AM,1529,-5,EV,5148,N614QX,LGA,CVG,91,585
2013,1,3,5:09:00 PM,607,68,6:27:00 PM,819,92,EV,4559,N18557,EWR,CVG,122,569
2013,9,26,3:20:00 PM,1710,-1,6:39:00 PM,1835,-8,MQ,3365,N857MQ,JFK,DCA,48,213
2013,2,23,6:49:00 PM,1515,5,8:45:00 PM,1812,27,UA,1602,N78060,EWR,IAH,234,1400
2013,4,3,3:57:00 PM,1835,14,5:39:00 PM,2040,5,DL,2131,N337NW,LGA,DTW,83,502
2013,12,19,5:59:00 AM,1520,37,8:29:00 AM,1705,34,AA,341,N3BKAA,LGA,ORD,130,733
2013,11,21,5:55:00 PM,600,-1,8:32:00 PM,825,4,WN,1716,N276WN,LGA,ATL,121,762
2013,5,30,1:37:00 PM,1629,86,4:26:00 PM,1927,65,B6,985,N793JB,LGA,TPA,135,1010
2013,3,19,1:49:00 PM,1249,48,4:20:00 PM,1539,47,B6,991,N635JB,JFK,PBI,155,1028
2013,1,14,7:39:00 PM,1350,-1,8:34:00 PM,1624,-4,B6,615,N316JB,JFK,JAX,123,828
2013,9,14,4:51:00 PM,1945,-6,7:57:00 PM,2105,-31,UA,1532,N38424,EWR,BOS,39,200
2013,2,18,2:50:00 PM,1655,-4,4:39:00 PM,2030,-33,VX,413,N642VA,JFK,LAX,349,2475
2013,7,14,6:53:00 AM,1455,-5,9:31:00 AM,1701,-22,9E,4120,N8903A,JFK,CLE,72,425
2013,10,21,7:21:00 AM,659,-6,10:19:00 AM,955,-24,UA,537,N459UA,EWR,PBI,140,1023
2013,2,26,6:02:00 PM,732,-11,8:47:00 PM,1038,-19,UA,630,N401UA,LGA,IAH,212,1416
2013,5,26,2:34:00 PM,1810,-8,4:19:00 PM,2110,-23,DL,2370,N3730B,LGA,PBI,129,1035
2013,1,6,3:17:00 PM,1425,9,4:51:00 PM,1630,-11,EV,5164,N712EV,EWR,MSP,151,1008
2013,2,16,6:46:00 PM,1520,-3,8:51:00 PM,1653,-2,9E,4105,N839AY,JFK,IAD,55,228
2013,3,17,6:21:00 PM,1855,-9,9:03:00 PM,2100,-9,US,1491,N543UW,LGA,CLT,95,544
2013,11,30,11:11:00 PM,1804,17,1:55:00 AM,2130,-27,UA,1735,N37437,EWR,LAX,319,2454
2013,7,1,12:00:00 AM,1916,235,12:00:00 AM,2214,221,B6,883,N507JB,JFK,MCO,140,944
2013,10,30,10:00:00 AM,1734,-4,11:17:00 AM,2046,-5,UA,418,N509UA,EWR,SFO,337,2565
2013,2,15,7:15:00 PM,1000,0,9:53:00 PM,1139,-22,UA,434,N423UA,LGA,ORD,114,733
2013,1,12,7:01:00 PM,1920,-5,11:44:00 PM,2246,-53,DL,83,N398DA,JFK,FLL,138,1069
2013,12,13,9:09:00 PM,1900,1,12:00:00 AM,2359,-15,AA,1029,N5CPAA,JFK,SJU,190,1598
2013,9,12,8:17:00 PM,1910,119,10:36:00 PM,2215,114,AA,21,N335AA,JFK,LAX,322,2475
2013,7,29,12:34:00 PM,1929,48,3:56:00 PM,2212,24,DL,2041,N358NW,JFK,ATL,97,760
2013,2,20,9:50:00 AM,1240,-6,12:02:00 PM,1540,16,AA,1853,N484AA,EWR,DFW,227,1372
2013,6,20,8:01:00 PM,950,0,10:48:00 PM,1205,-3,MQ,3644,N534MQ,LGA,ATL,106,762
2013,1,23,11:29:00 AM,2005,-4,2:14:00 PM,2258,-10,UA,405,N402UA,EWR,MCO,136,937
2013,11,29,10:29:00 AM,1135,-6,1:00:00 PM,1436,-22,DL,1875,N342NB,LGA,TPA,147,1010
2013,3,10,5:24:00 PM,1029,0,6:28:00 PM,1344,-44,UA,1605,N37465,EWR,LAX,308,2454
2013,11,25,9:30:00 AM,1725,-1,2:21:00 PM,1845,-17,AA,256,N3CTAA,JFK,BOS,40,187
2013,3,5,6:26:00 AM,929,1,8:58:00 AM,1426,-5,B6,215,N638JB,EWR,SJU,200,1608
2013,5,21,,630,-4,,918,-20,UA,490,N447UA,LGA,IAH,189,1416
